<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250915,031000,3630.485,3631.335,3626.825,3628.685,0,0
XAUUSD,5,20250915,031500,3628.645,3630.715,3626.815,3630.675,0,0
XAUUSD,5,20250915,032000,3630.795,3630.795,3627.585,3628.265,0,0
XAUUSD,5,20250915,032500,3628.505,3632.465,3628.505,3631.855,0,0
XAUUSD,5,20250915,033000,3632.065,3632.645,3631.085,3631.595,0,0
XAUUSD,5,20250915,033500,3631.025,3633.015,3628.845,3631.815,0,0
XAUUSD,5,20250915,034000,3631.875,3632.995,3631.405,3631.405,0,0
XAUUSD,5,20250915,034500,3631.385,3632.955,3630.035,3632.835,0,0
XAUUSD,5,20250915,035000,3632.945,3634.665,3632.725,3633.955,0,0
XAUUSD,5,20250915,035500,3634.015,3634.855,3633.955,3634.635,0,0
XAUUSD,5,20250915,040000,3634.69,3636.525,3634.545,3636.525,0,0
XAUUSD,5,20250915,040500,3636.245,3640.185,3636.235,3640.015,0,0
XAUUSD,5,20250915,041000,3639.605,3640.935,3638.825,3640.825,0,0
XAUUSD,5,20250915,041500,3641.285,3643.245,3640.805,3643.235,0,0
XAUUSD,5,20250915,042000,3643.315,3644.005,3642.015,3643.985,0,0
XAUUSD,5,20250915,042500,3643.765,3645.035,3643.365,3643.495,0,0
XAUUSD,5,20250915,043000,3643.165,3644.585,3641.945,3644.235,0,0
XAUUSD,5,20250915,043500,3644.425,3645.265,3644.265,3644.435,0,0
XAUUSD,5,20250915,044000,3643.835,3645.485,3643.815,3644.835,0,0
XAUUSD,5,20250915,044500,3644.615,3644.915,3642.395,3642.785,0,0
XAUUSD,5,20250915,045000,3642.825,3643.085,3641.415,3641.715,0,0
XAUUSD,5,20250915,045500,3641.635,3642.165,3640.075,3640.725,0,0
XAUUSD,5,20250915,050000,3640.74,3641.485,3640.245,3641.095,0,0
XAUUSD,5,20250915,050500,3641.095,3642.895,3641.085,3641.955,0,0
XAUUSD,5,20250915,051000,3641.985,3643.545,3641.895,3642.865,0,0
XAUUSD,5,20250915,051500,3643.075,3643.295,3641.585,3641.825,0,0
XAUUSD,5,20250915,052000,3641.915,3641.915,3641.185,3641.755,0,0
XAUUSD,5,20250915,052500,3641.745,3644.195,3641.745,3644.015,0,0
XAUUSD,5,20250915,053000,3643.815,3645.595,3643.655,3645.515,0,0
XAUUSD,5,20250915,053500,3645.665,3645.835,3643.435,3643.755,0,0
XAUUSD,5,20250915,054000,3643.635,3645.175,3643.575,3645.035,0,0
XAUUSD,5,20250915,054500,3645.025,3645.815,3644.915,3645.535,0,0
XAUUSD,5,20250915,055000,3645.755,3646.385,3645.685,3646.385,0,0
XAUUSD,5,20250915,055500,3646.325,3646.415,3645.785,3646.065,0,0
XAUUSD,5,20250915,060000,3646.17,3646.575,3645.405,3645.945,0,0
XAUUSD,5,20250915,060500,3646.185,3646.835,3646.145,3646.735,0,0
XAUUSD,5,20250915,061000,3646.655,3646.795,3645.395,3645.935,0,0
XAUUSD,5,20250915,061500,3645.815,3645.945,3645.655,3645.685,0,0
XAUUSD,5,20250915,062000,3645.715,3646.505,3644.475,3645.365,0,0
XAUUSD,5,20250915,062500,3645.225,3645.325,3644.735,3645.325,0,0
XAUUSD,5,20250915,063000,3645.265,3645.335,3644.525,3644.765,0,0
XAUUSD,5,20250915,063500,3644.685,3644.795,3644.385,3644.735,0,0
XAUUSD,5,20250915,064000,3644.705,3644.965,3644.205,3644.495,0,0
XAUUSD,5,20250915,064500,3644.605,3644.745,3644.015,3644.435,0,0
XAUUSD,5,20250915,065000,3644.425,3645.315,3644.025,3644.225,0,0
XAUUSD,5,20250915,065500,3644.125,3645.635,3643.795,3645.635,0,0
XAUUSD,5,20250915,070000,3645.72,3645.865,3644.495,3644.525,0,0
XAUUSD,5,20250915,070500,3644.445,3644.875,3643.935,3643.945,0,0
XAUUSD,5,20250915,071000,3643.995,3644.005,3642.505,3642.945,0,0
XAUUSD,5,20250915,071500,3642.865,3644.575,3642.435,3644.425,0,0
XAUUSD,5,20250915,072000,3644.515,3645.925,3644.515,3645.015,0,0
XAUUSD,5,20250915,072500,3645.575,3645.815,3644.835,3645.435,0,0
XAUUSD,5,20250915,073000,3645.435,3646.325,3643.645,3645.415,0,0
XAUUSD,5,20250915,073500,3645.445,3645.645,3643.625,3643.625,0,0
XAUUSD,5,20250915,074000,3643.735,3644.285,3643.535,3644.125,0,0
XAUUSD,5,20250915,074500,3644.135,3644.995,3643.785,3644.465,0,0
XAUUSD,5,20250915,075000,3644.345,3644.805,3644.075,3644.315,0,0
XAUUSD,5,20250915,075500,3644.565,3644.595,3643.575,3643.805,0,0
XAUUSD,5,20250915,080000,3643.65,3643.895,3642.375,3642.375,0,0
XAUUSD,5,20250915,080500,3642.235,3643.455,3641.985,3642.965,0,0
XAUUSD,5,20250915,081000,3643.035,3643.675,3642.465,3642.635,0,0
XAUUSD,5,20250915,081500,3642.695,3642.695,3640.665,3641.925,0,0
XAUUSD,5,20250915,082000,3641.925,3643.345,3641.925,3643.255,0,0
XAUUSD,5,20250915,082500,3643.345,3643.835,3641.475,3642.085,0,0
XAUUSD,5,20250915,083000,3641.615,3643.785,3641.345,3642.495,0,0
XAUUSD,5,20250915,083500,3642.415,3643.345,3641.835,3642.415,0,0
XAUUSD,5,20250915,084000,3642.315,3642.315,3639.045,3639.925,0,0
XAUUSD,5,20250915,084500,3639.115,3640.845,3638.975,3639.145,0,0
XAUUSD,5,20250915,085000,3638.815,3639.565,3638.055,3638.055,0,0
XAUUSD,5,20250915,085500,3638.135,3638.435,3636.925,3636.985,0,0
XAUUSD,5,20250915,090000,3637.02,3637.02,3634.205,3635.595,0,0
XAUUSD,5,20250915,090500,3635.675,3637.385,3635.675,3637.235,0,0
XAUUSD,5,20250915,091000,3636.945,3637.785,3635.135,3636.365,0,0
XAUUSD,5,20250915,091500,3636.185,3636.595,3634.575,3635.035,0,0
XAUUSD,5,20250915,092000,3634.985,3635.405,3633.895,3634.805,0,0
XAUUSD,5,20250915,092500,3635.065,3636.475,3634.435,3636.275,0,0
XAUUSD,5,20250915,093000,3636.365,3639.715,3636.335,3639.535,0,0
XAUUSD,5,20250915,093500,3639.535,3641.575,3639.525,3641.055,0,0
XAUUSD,5,20250915,094000,3641.055,3642.025,3640.275,3641.785,0,0
XAUUSD,5,20250915,094500,3641.225,3642.005,3640.135,3640.975,0,0
XAUUSD,5,20250915,095000,3640.955,3644.025,3640.935,3643.885,0,0
XAUUSD,5,20250915,095500,3643.485,3644.985,3643.315,3644.015,0,0
XAUUSD,5,20250915,100000,3644.05,3645.055,3642.695,3643.165,0,0
XAUUSD,5,20250915,100500,3643.305,3645.115,3642.525,3643.255,0,0
XAUUSD,5,20250915,101000,3643.275,3643.665,3641.535,3641.775,0,0
XAUUSD,5,20250915,101500,3641.655,3643.015,3641.185,3642.865,0,0
XAUUSD,5,20250915,102000,3642.935,3643.275,3641.825,3641.895,0,0
XAUUSD,5,20250915,102500,3641.955,3642.725,3641.595,3641.755,0,0
XAUUSD,5,20250915,103000,3641.695,3643.095,3641.345,3641.755,0,0
XAUUSD,5,20250915,103500,3641.885,3642.525,3641.385,3641.755,0,0
XAUUSD,5,20250915,104000,3641.675,3642.745,3641.665,3642.065,0,0
XAUUSD,5,20250915,104500,3641.975,3642.325,3641.005,3641.215,0,0
XAUUSD,5,20250915,105000,3640.945,3642.315,3640.945,3642.315,0,0
XAUUSD,5,20250915,105500,3642.275,3645.705,3642.135,3645.325,0,0
XAUUSD,5,20250915,110000,3645.39,3645.755,3644.615,3644.755,0,0
XAUUSD,5,20250915,110500,3644.905,3645.025,3643.605,3643.615,0,0
XAUUSD,5,20250915,111000,3643.695,3644.765,3643.025,3644.765,0,0
XAUUSD,5,20250915,111500,3644.645,3645.225,3642.815,3642.815,0,0
XAUUSD,5,20250915,112000,3642.795,3643.015,3640.505,3640.645,0,0
XAUUSD,5,20250915,112500,3640.555,3641.785,3639.835,3640.055,0,0
XAUUSD,5,20250915,113000,3640.405,3640.405,3638.405,3638.845,0,0
XAUUSD,5,20250915,113500,3638.995,3638.995,3635.925,3637.745,0,0
XAUUSD,5,20250915,114000,3637.625,3638.125,3636.395,3637.955,0,0
XAUUSD,5,20250915,114500,3637.525,3639.205,3636.065,3638.275,0,0
XAUUSD,5,20250915,115000,3638.235,3639.145,3637.925,3639.055,0,0
XAUUSD,5,20250915,115500,3639.055,3641.665,3638.945,3641.385,0,0
XAUUSD,5,20250915,120000,3641.36,3644.045,3641.345,3643.565,0,0
XAUUSD,5,20250915,120500,3643.595,3644.075,3642.655,3642.655,0,0
XAUUSD,5,20250915,121000,3642.355,3644.665,3642.355,3644.405,0,0
XAUUSD,5,20250915,121500,3644.455,3646.295,3644.455,3645.375,0,0
XAUUSD,5,20250915,122000,3645.165,3646.275,3644.635,3645.725,0,0
XAUUSD,5,20250915,122500,3645.725,3646.365,3644.945,3646.035,0,0
XAUUSD,5,20250915,123000,3646.105,3646.455,3645.355,3645.415,0,0
XAUUSD,5,20250915,123500,3645.395,3645.745,3644.075,3644.415,0,0
XAUUSD,5,20250915,124000,3644.475,3644.645,3642.415,3642.765,0,0
XAUUSD,5,20250915,124500,3642.745,3642.965,3640.695,3640.755,0,0
XAUUSD,5,20250915,125000,3640.775,3640.945,3639.515,3639.585,0,0
XAUUSD,5,20250915,125500,3639.505,3640.575,3639.265,3639.985,0,0
XAUUSD,5,20250915,130000,3640,3640.935,3639.255,3639.795,0,0
XAUUSD,5,20250915,130500,3639.825,3641.795,3639.705,3641.715,0,0
XAUUSD,5,20250915,131000,3641.425,3643.085,3640.605,3643.085,0,0
